,n_inputs,n_hidden_units,epoch,trn_loss,val_loss,trn_perplexity,val_perplexity
51,128.0,128.0,1.0,5.420886879901408,5.557230714079622,264.89804318071214,263.06099991825505
52,128.0,128.0,2.0,5.296883442298698,5.527639634681471,240.6016373626294,255.26010386932103
53,128.0,128.0,3.0,5.206160734128844,5.529543866326798,224.45189758264036,254.67483414480836
54,128.0,128.0,4.0,5.130894670345246,5.536275944152436,211.5106212055158,255.75250733655253
55,128.0,256.0,0.0,5.584097488377251,5.615624791099911,296.2960252882525,275.3537746910866
56,128.0,256.0,1.0,5.352245485701159,5.51985519169729,246.04976627830203,253.389133772554
57,128.0,256.0,2.0,5.192715435636342,5.491609018086355,219.42824131367203,246.3752686958235
58,128.0,256.0,3.0,5.112046490280394,5.514800878830286,202.69877731512554,247.1441758832687
59,128.0,256.0,4.0,5.006252164938456,5.507628073423972,187.77818834387966,246.9473412062576
60,256.0,32.0,0.0,5.71587571207103,5.695747321818298,336.3304338717422,301.38954229264544
61,256.0,32.0,1.0,5.564794012951688,5.6432695987420685,300.027964460048,285.561827122963
62,256.0,32.0,2.0,5.478654917932046,5.624869456022849,282.45513368818314,280.53631903216245
63,256.0,32.0,3.0,5.420506188972665,5.626411394639448,271.9170378538005,279.9289946797886
64,256.0,32.0,4.0,5.384034115632737,5.629911404151421,264.98473356474716,280.5322827105751
65,256.0,64.0,0.0,5.641357783250222,5.664602153745048,314.0414561621872,289.7435372840435
66,256.0,64.0,1.0,5.453006602854283,5.611688702653497,274.60661426882825,274.98231126956335
67,256.0,64.0,2.0,5.345838886187125,5.5852845220854785,254.8935910273226,269.9315027979439
68,256.0,64.0,3.0,5.271930968517052,5.597219634365726,241.85613716643297,270.7414474596251
69,256.0,64.0,4.0,5.227204968771793,5.614554933655314,233.13783408239155,273.13750516383226
70,256.0,128.0,0.0,5.608942699540992,5.639766340131883,305.6527898455658,284.4930134743145
71,256.0,128.0,1.0,5.408416089490226,5.579892947044208,264.44027901451295,269.5314044472636
72,256.0,128.0,2.0,5.272294850447183,5.545379708855699,237.9512081263535,260.0721690984764
73,256.0,128.0,3.0,5.185267246285441,5.5465521812438965,222.09205681374937,258.91655942213424
74,256.0,128.0,4.0,5.132953220999594,5.568600962172339,211.50704291798226,263.0322716750647
75,256.0,256.0,0.0,5.600881673426183,5.645979092750714,298.5376924905779,283.4393710091543
76,256.0,256.0,1.0,5.34938763084064,5.574680737086704,248.80438715068547,263.5427285282843
77,256.0,256.0,2.0,5.20370103460238,5.55595875199223,221.90100364218247,257.5624819656396
78,256.0,256.0,3.0,5.102929325147207,5.566975958935626,203.9778230919117,258.5949736745508
79,256.0,256.0,4.0,5.026820884207115,5.594864834954728,192.8050556261159,265.13451683024863
